,Titre,Language,genre,Directors,Liste acteurs,startYear,averageRating,Poster,weighted_rating
3614,Mercury Rising,en,Action,Harold Becker,"['Peter Fontana', ' Willie Dixon', ' Miko Hughes', ' Bruce Willis']",1998,6.0,/2vEQLyrH0uKgjvLzYmYc9coNrgI.jpg,5.999572061312753
3615,Indecent Proposal,en,Drama,Adrian Lyne,"['Demi Moore', ' Adrian Lyne', ' Sherry Lansing', ' Robert Redford']",1993,6.0,/tBsmJ9owjjnT4rO4kE1mOzxQAJc.jpg,5.999562116594363
3616,The Witches of Eastwick,en,Comedy,George Miller,"['John Updike', ' John Blood', ' James Boyle', ' Jack Nicholson']",1987,6.0,/bbSI4kC8LlqwQPUUlJbcq6sw1qT.jpg,5.999554653419591
3617,Bowfinger,en,Comedy,Frank Oz,"['Heather Graham', ' Paul J. Morra', ' Barry Newman', ' Steve Martin']",1999,6.0,/8dPucB4Dp7gdbozmuV2dxMOHy7i.jpg,5.999549340107356
3618,Major League,en,Comedy,David S. Ward,"['Tom Berenger', ' Charles Cyphers', ' Kevin Crowley', ' Tom Berenger']",1989,7.0,/nD8hYPxh4Ph12dAsWiH3nQbqYDW.jpg,6.992650966677628
3619,Arachnophobia,en,Comedy,Frank Marshall,"['Steven R. Kutcher', ' Mary Carver', ' Garette Ratliff Henson', ' Jeff Daniels']",1990,6.0,/pz4TWF3r6xqXN41Iqsjbf06rAQs.jpg,5.99955019725308
3620,Bringing Out the Dead,en,Drama,Martin Scorsese,"['Sylva Kelegian', ' Marc Anthony', ' Ving Rhames', ' Nicolas Cage']",1999,6.0,/2WFn1CMyGpaHpQSIEpW0DGOaJCS.jpg,5.999550315010603
3621,Cobra,en,Action,George P. Cosmatos,"['John Cafferty', ' Ed Arter', ' Val Avery', ' Sylvester Stallone']",1986,5.0,/jnbvydGrfPeSlYnIQ2XI3z3IDmh.jpg,5.006123181991883
3622,The Edge,en,Action,Lee Tamahori,"['Kathleen Wilhoite', ' James W. Gavin', ' Wolf Kroeger', ' Anthony Hopkins']",1997,6.0,/fvokkKZuhMosdpABHduMdOdIDkp.jpg,5.999571735606516
3623,Alien³,en,Action,David Fincher,"['Niall Buggy', ' Paul McGann', ' Chris Cunningham', ' Sigourney Weaver']",1992,6.0,/p7mUd9GpmCYV5qhkKGmiEerFK3i.jpg,5.999893460969596
3624,Leaving Las Vegas,en,Drama,Mike Figgis,"['Carey Lowell', ' Mariska Hargitay', ' Nicolas Cage']",1995,7.0,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,6.995857327058515
